id,study,year,family,subclass,material_or_system,feed_type,capacity_mg_g,energy_Wh_mol,recovery_pct,purity_pct,sel_Li_Mg,cycles,retention_pct,compiled_in
S001,Chitrakar et al.,2014,Adsorption / ion sieve,Mn/Ti oxide sieve,Layered H2TiO3,salt-lake brine,32.7,,,,,,,R6
S002,Wang et al.,2017,Adsorption / ion sieve,Mn/Ti oxide sieve,HxTiO3,salt-lake brine,36.3,,,,,,,R6
S003,Wang et al.,2018,Adsorption / ion sieve,Mn/Ti oxide sieve,Iron-doped Li-Ti oxide,concentrated natural brine,34.8,,,,,,,R6
S004,Zandvakili & Ranjbar,2018,Adsorption / ion sieve,composite sieve,MnO2/PVDF composite,enriched salt-lake brine,11.06,,,,,,,R6
S005,Ohashi & Tai,2019,Adsorption / ion sieve,Mn oxide sieve,Li1.33Mn1.67O4 (surface-modified),natural brine,50.0,,,,,,,R6
S006,Marthi & Smith,2019,Adsorption / ion sieve,composite sieve,LiMn2O4 nanowire/diatomaceous earth,salt-lake water,18.6,,,,,,,R6
S007,Zhang et al.,2019,Adsorption / ion sieve,Mn oxide sieve,Al-doped Li manganese oxide,synthetic salt solution,32.6,,,,,,,R6
S008,Liang et al.,2020,Adsorption / ion sieve,imprinted polymer,Li+-IIP-Fe3O4@C,synthetic salt solution,22.26,,,,,,,R6
S009,Lai et al.,2020,Adsorption / ion sieve,granular sieve,Granular H4Mn5O12 (EP/HMO),salt-lake brine,17.2,,,,,,,R6
S010,Chen et al.,2020,Adsorption / ion sieve,layered double hydroxide,Magnetic Li-Al-LDH,salt-lake brine,5.83,,,,,,,R6
S011,Wei et al.,2020,Adsorption / ion sieve,Ti oxide sieve,Porous H4Ti5O12 nanofibre,simulated brine,59.1,,,,,,,R6
S012,Wei et al.,2021,Adsorption / ion sieve,metal-organic framework,Al-based MOF (MIL-121),synthetic salt solution,1.25,,,,,,,R6
S013,Marthi & Smith,2021,Adsorption / ion sieve,composite sieve,H2TiO3/diatomaceous earth,salt-lake brine,8.25,,,,,,,R6
S014,Zhong et al.,2021,Adsorption / ion sieve,layered double hydroxide,Li-Al-LDH,salt-lake brine,7.27,,,,,,,R6
S015,Luo et al.,2021,Adsorption / ion sieve,layered double hydroxide,Granular Li-Al-LDH/NH4Al3(SO4)2(OH)6,salt-lake brine,9.16,,,,,,,R6
S016,Marthi et al.,2021,Adsorption / ion sieve,Ti oxide sieve,Layered H2TiO3,synthetic salt solution,40.0,,,,,,,R6
S017,Jiang et al.,2021,Adsorption / ion sieve,metal-organic framework,Fluorine-pillared MOF,salt-lake brine,18.8,,,,,,,R6
S018,Zhu et al.,2021,Adsorption / ion sieve,Ti oxide sieve,Shaped Ti-based Li ion-sieve,salt-lake brine (W. Taijinar),19.22,,,,,,,R6
S019,Zhang et al.,2021,Adsorption / ion sieve,metal-organic framework,PNIPAM-co-crown-6 MOF-808,synthetic salt solution,7.21,,,,,,,R6
S020,Zhang et al.,2014,Adsorption / ion sieve,Ti oxide sieve,LTO from anatase precursor,synthetic solution,39.2,,,,,,,R1
S021,He et al.,2015,Adsorption / ion sieve,Ti oxide sieve,H2TiO3,synthetic solution,57.8,,,,,,,R1
S022,Lawagon et al.,2016,Adsorption / ion sieve,Ti oxide sieve,H2TiO3,synthetic solution,94.5,,,,,,,R1
S023,Sun et al.,2017,Adsorption / ion sieve,imprinted membrane,PVDF/crown-ether ion-imprinted membrane,brine,27.1,,,,,,,R1
S024,Sun et al.,2018,Hybrid membrane-adsorbent,adsorptive membrane,Crown-ether functionalised GO/PVDF,synthetic salt solution,24.25,,,,,,,R6
S025,Xue et al.,2020,Hybrid membrane-adsorbent,adsorptive membrane,alpha-Al2O3 supported Li4Mn5O12,synthetic salt solution,22.9,,,,,,,R6
S026,Wang et al.,2021,Hybrid membrane-adsorbent,adsorptive membrane,Sulfonated polyarylene ether nitrile hollow fibre,synthetic brine,20.54,,,,,,,R6
